用户名,推荐,游戏时长,评论
花美男大大怪,Not Recommended,396.4 hrs on record (393.2 hrs at review time),《差评表》游卡创业未半而中道崩殂，今天下三分，面杀疲弊，此诚危急存亡之秋也。然魏蜀吴群不懈于内，风火林山忘身于外者，盖追游卡之殊遇，欲报之于狗卡也。诚宜开张圣听，以光游卡遗德，恢弘标风之气，不宜妄自菲薄，引喻失义，以塞忠谏之路也。将军夫长，俱为一体，陟罚臧否，不宜异同。若有恶意好评及为差评者，宜付有司论其刑赏，以昭狗卡平明之理，不宜偏私，使将夫异法也。成名、界成一二三、四五、六七等，此皆良实，志虑忠纯，是以游卡简拔以遗狗卡。愚以为武将之事，事无大小，悉以咨之，然后施行，必能裨补阙漏，有所广益。如故承起，初出茅庐，晓畅人心，试用于昔日，游卡称之曰能，是以众议举宠为新。愚以为新包之事，悉以咨之，必能使行阵和睦，优劣得所。亲面杀，远氪金，此游卡所以兴隆也；亲氪金，远面杀，此狗卡所以倾颓也。游卡在时，每与臣论此事，未尝不叹息痛恨于谋、神也。标包、再临、界包、SP，此悉贞良死节之臣，愿陛下亲之信之，则三国之隆，可计日而待也。臣本布衣，斩将于拱门，苟全性命于乱世，不求闻达于诸侯。游卡不以臣卑鄙，猥自枉屈，三顾臣于网游之中，咨臣以当世之牌，由是感激，遂许游卡以驱驰。后值倾覆，受任于败军之际，奉命于危难之间，尔来八十有一日矣。游卡知臣谨慎，故临崩寄臣以大事也。受命以来，夙夜忧叹，恐托付不效，以伤游卡之明，故七月入杀，深入手网。今军八已定，斗主已足，当奖率玩家，分发武将，庶竭驽钝，攘除奸凶，兴复三国，还于旧荣。此臣所以报游卡而忠狗卡之职分也。至于斟酌损益，进尽忠言，则成名、界、SP之任也。愿狗卡托臣以讨贼兴复之效，不效，则治臣之罪，以告游卡之灵。若无兴德之言，则责成名、界、SP等之慢，以彰其咎；狗卡亦宜自谋，以咨诹善道，察纳雅言。深追游卡遗诏，臣不胜受恩感激。今当差评，临表涕零，不知所言。
纯金的欠缺感坠在左耳,Not Recommended,5.3 hrs on record,最近心情不好 这都是你的错
想想niko会怎么做,Not Recommended,40.7 hrs on record (32.3 hrs at review time),今天拉屎不太通畅，拉完第一件事情就是跑过来评论，纯垃圾游戏
蕉绿,Not Recommended,6.3 hrs on record (1.4 hrs at review time),玩到一半卡住了，总不能是我电脑的问题吧？所以，万般无奈之下给了一个差评
e白夜z,Not Recommended,0.1 hrs on record,太好玩了，必须好评！
584734379,Not Recommended,0.1 hrs on record,威震华夏的武将关云长，拥有将红牌当杀的能力，而历史上的无名小卒，只能一轮八十牌
电子龙凯旋,Recommended,0.6 hrs on record,再不去给影之诗byd打差评，我就要给三国杀打好评了。
ASKY,Not Recommended,0.9 hrs on record,我乐意
尊师重道万历皇朱翊钧,Not Recommended,4.5 hrs on record,我不识字看不懂咋玩
rainhill,Not Recommended,3.0 hrs on record,sgs是最良心的游戏！
